user_id,ordering
197,321
197,231
197,213
197,123
3,123
198,132
199,123
0,213
15,123
40,321
200,213
201,213
58,321
202,231
32,213
7,132
54,321
1,132
21,321
203,123
204,231
2,312
54,123
45,321
24,213
56,132
6,231
16,123
8,132
35,321
124,132
9,123
17,312
55,123
42,321
205,123
38,213
206,132
12,213
100,312
48,321
82,132
43,123
20,231
5,123
18,123
23,312
93,312
207,132
30,231
27,312
13,321
10,231
208,132
41,312
29,321
26,213
209,321
88,231
210,321
28,123
61,123
11,213
211,132
212,123
96,123
22,213
85,123
72,312
76,321
14,231
19,231
63,132
60,312
39,123
33,321
34,321
31,213
213,321
214,312
36,132
46,213
81,312
215,132
59,213
37,321
114,123
68,123
99,213
51,213
216,321
62,132
217,321
86,231
218,321
44,213
70,123
69,231
47,132
83,321
50,231
92,312
219,321
220,231
49,312
52,123
221,213
67,321
57,213
77,123
64,132
65,213
75,213
222,213
53,312
71,123
223,231
115,231
224,321
225,312
226,123
110,132
157,132
87,312
66,132
73,132
74,213
79,132
79,321
105,132
152,231
107,213
107,321
227,123
111,312
98,132
80,132
228,123
229,132
230,132
117,132
118,312
111,213
116,321
231,231
104,321
89,123
125,132
90,321
78,213
232,123
101,132
109,132
132,132
95,231
91,213
233,123
234,231
94,231
84,123
235,123
126,312
97,231
129,312
173,231
236,132
170,213
134,132
102,321
106,132
113,312
140,231
237,321
238,132
112,312
149,321
30,213
162,123
239,231
103,123
207,123
121,321
157,213
119,312
237,231
127,213
240,312
130,132
108,321
241,312
122,321
139,321
158,231
148,213
138,231
136,321
123,213
168,231
147,321
120,132
137,321
131,132
185,213
242,213
167,321
146,213
159,312
163,123
145,312
181,132
180,132
128,321
144,321
174,132
184,123
143,231
112,132
166,312
243,132
155,123
244,123
176,132
161,132
164,312
135,123
165,312
150,132
245,321
141,123
246,321
153,132
154,231
142,231
247,132
151,132
248,312
184,321
155,231
177,231
171,213
249,312
160,213
133,123
186,312
250,132
251,231
133,321
175,213
172,321
156,312
169,132
155,321
182,132
179,123
243,213
151,123
188,321
187,123
178,231
252,321
183,321
237,123
178,213
253,123
253,321
189,132
190,231
195,123
196,312
194,231
192,213
254,132
193,321
191,213
255,123
